Company ,"EV
($MM) ",TTM Revenue ,EV/Rev ,Rev Growth ,GP Margin ,R&D ,R&D Margin ,S&M ,S&M Margin ,EBITDA Margin ,Profit Margin 
PRGS US Equity,"1,403.5 ",401.9 ,3.5 ,(1.4%),83%,77.0 ,0.2 ,96.3 ,0.2 ,0.4 ,0.2 
WK US Equity,"1,360.4 ",225.6 ,6.0 ,13.4% ,71%,68.2 ,0.3 ,84.2 ,0.4 ,(0.2),(0.2)
LPSN US Equity,"1,214.4 ",233.8 ,5.2 ,10.7% ,75%,40.0 ,0.2 ,90.9 ,0.4 ,0.0 ,(0.0)
CBLK US Equity,"1,444.5 ",162.0 ,8.9 ,39.9% ,78%,52.0 ,0.3 ,107.2 ,0.7 ,(0.3),(0.3)
APTI US Equity,"1,016.1 ",212.5 ,4.8 ,17.2% ,69%,40.6 ,0.2 ,87.9 ,0.4 ,(0.1),(0.1)
SCWX US Equity,"1,118.7 ",493.4 ,2.3 ,9.6% ,52%,80.2 ,0.2 ,151.3 ,0.3 ,(0.1),(0.1)
FSCT US Equity,949.0 ,257.6 ,3.7 ,17.5% ,75%,47.4 ,0.2 ,151.1 ,0.6 ,(0.3),(0.4)
PRO US Equity,"1,209.1 ",183.6 ,6.6 ,12.1% ,60%,56.0 ,0.3 ,68.1 ,0.4 ,(0.2),(0.3)
INST US Equity,"1,011.2 ",184.8 ,5.5 ,25.1% ,71%,48.3 ,0.3 ,83.7 ,0.5 ,(0.2),(0.3)
BNFT US Equity,"1,106.0 ",252.2 ,4.4 ,7.0% ,50%,49.5 ,0.2 ,69.3 ,0.3 ,(0.0),(0.2)
QADB US Equity ,684.6 ,328.4 ,2.1 ,0.0 ,51%,47.7 ,0.1 ,75.4 ,0.2 ,0.0 ,(0.0)
TYPE US Equity ,759.3 ,242.9 ,3.1 ,0.0 ,81%,37.7 ,0.2 ,91.5 ,0.4 ,0.2 ,0.1 
OSPN US Equity ,599.3 ,200.6 ,3.0 ,0.1 ,71%,23.1 ,0.1 ,59.0 ,0.3 ,0.1 ,0.0 
JG US Equity ,748.6 ,42.2 ,17.7 ,1.4 ,25%,10.6 ,0.3 ,8.8 ,0.2 ,(0.3),(0.3)
UPLD US Equity ,790.0 ,121.5 ,6.5 ,0.3 ,67%,15.3 ,0.1 ,15.3 ,0.1 ,0.2 ,(0.0)
MODN US Equity ,471.5 ,155.5 ,3.0 ,(0.0),59%,31.1 ,0.2 ,41.3 ,0.3 ,(0.1),(0.2)
MOBL US Equity ,343.2 ,181.4 ,1.9 ,0.1 ,83%,75.4 ,0.4 ,96.5 ,0.5 ,(0.3),(0.3)
DOMO US Equity ,"1,157.5 ",108.5 ,10.7 ,0.4 ,59%,78.3 ,0.7 ,131.8 ,1.2 ,(1.5),(1.6)
ATEN US Equity ,290.7 ,231.4 ,1.3 ,0.0 ,78%,63.0 ,0.3 ,101.4 ,0.4 ,(0.0),(0.1)
SSTI US Equity ,388.2 ,29.2 ,13.3 ,0.4 ,55%,4.2 ,0.1 ,6.2 ,0.2 ,0.0 ,(0.2)
MGIC US Equity ,374.9 ,271.7 ,1.4 ,0.1 ,32%,6.9 ,0.0 ,27.2 ,0.1 ,0.2 ,0.1 
AGYS US Equity ,328.1 ,127.5 ,2.6 ,0.1 ,51%,27.9 ,0.2 ,18.1 ,0.1 ,0.1 ,(0.0)
AMSWA US Equity ,265.0 ,113.2 ,2.3 ,0.1 ,54%,11.9 ,0.1 ,20.7 ,0.2 ,0.1 ,0.1 
ATTU US Equity ,304.5 ,72.8 ,4.2 ,0.2 ,85%,14.0 ,0.2 ,35.9 ,0.5 ,0.0 ,(0.0)
ECOM US Equity ,268.8 ,128.3 ,2.1 ,0.0 ,79%,21.9 ,0.2 ,63.5 ,0.5 ,(0.0),(0.1)
MITK US Equity ,305.2 ,55.4 ,5.5 ,0.4 ,87%,10.4 ,0.2 ,14.5 ,0.3 ,0.1 ,0.1 
DMRC US Equity ,255.0 ,24.6 ,10.4 ,0.0 ,65%,15.4 ,0.6 ,16.6 ,0.7 ,(1.1),(1.2)
AMBR US Equity ,260.0 ,82.0 ,3.2 ,0.1 ,54%,14.9 ,0.2 ,22.5 ,0.3 ,(0.1),(0.1)
ABT CN Equity ,205.8 ,93.6 ,2.2 ,0.0 ,85%,20.1 ,0.2 ,40.9 ,0.4 ,0.2 ,0.1 
ALLT US Equity ,117.1 ,88.8 ,1.3 ,0.1 ,68%,21.9 ,0.2 ,38.3 ,0.4 ,(0.1),(0.1)
EGAN US Equity ,198.1 ,61.3 ,3.2 ,0.1 ,64%,14.7 ,0.2 ,17.7 ,0.3 ,0.0 ,(0.0)
TNAV US Equity ,128.2 ,106.2 ,1.2 ,1.1 ,41%,87.5 ,0.8 ,20.7 ,0.2 ,(0.8),(0.8)
GSUM US Equity ,194.5 ,77.3 ,2.5 ,0.2 ,85%,23.2 ,0.3 ,21.9 ,0.3 ,(0.1),(0.3)
OPT CN Equity ,124.4 ,128.1 ,1.0 ,(0.0),57%,41.9 ,0.3 ,19.2 ,0.2 ,(0.2),(0.4)
RUBI US Equity ,69.8 ,120.1 ,0.6 ,0.0 ,51%,47.5 ,0.4 ,51.8 ,0.4 ,(0.4),(0.6)
CYRN US Equity ,151.4 ,31.9 ,4.7 ,0.2 ,60%,9.8 ,0.3 ,15.6 ,0.5 ,(0.4),(0.7)
SHOP US EQUITY,"11,763.5 ",853.6 ,13.8 ,41.9% ,56%,136.0 ,0.2 ,225.7 ,0.3 ,(0.0),(0.1)
MDB US Equity,"3,220.3 ",192.2 ,16.8 ,41.2% ,72%,62.2 ,0.3 ,110.0 ,0.6 ,(0.6),(0.6)
TWLO US EQUITY,"6,079.8 ",492.6 ,12.3 ,35.5% ,53%,120.7 ,0.2 ,100.7 ,0.2 ,(0.1),(0.2)
INOV US Equity,"2,405.0 ",476.0 ,5.1 ,33.6% ,69%,27.4 ,0.1 ,34.1 ,0.1 ,0.2 ,0.0 
WIX US Equity,"4,154.3 ",513.5 ,8.1 ,31.4% ,81%,153.6 ,0.3 ,204.4 ,0.4 ,(0.1),(0.1)
OKTA US EQUITY,"5,590.6 ",324.2 ,17.2 ,30.8% ,70%,70.8 ,0.2 ,173.0 ,0.5 ,(0.4),(0.4)
CARB US EQUITY,"1,234.3 ",265.1 ,4.7 ,24.2% ,72%,46.2 ,0.2 ,90.9 ,0.3 ,0.1 ,(0.0)
SQ US EQUITY,"28,442.0 ","2,684.7 ",10.6 ,(30.8%),38%,321.9 ,0.1 ,253.2 ,0.1 ,(0.0),(0.0)
VEEV US EQUITY,"11,492.5 ",766.2 ,15.0 ,19.0% ,70%,132.1 ,0.2 ,130.9 ,0.2 ,0.2 ,0.2 
MDSO US EQUITY,"4,083.6 ",609.7 ,6.7 ,18.1% ,76%,138.6 ,0.2 ,126.3 ,0.2 ,0.1 ,0.1 
FDEV LN Equity,498.0 ,45.9 ,10.8 ,128.0% ,70%,11.4 ,0.2 ,8.2 ,0.2 ,0.3 ,0.1 
TTWO US Equity,"11,310.2 ","1,762.7 ",6.4 ,70.4% ,53%,196.4 ,0.1 ,256.1 ,0.1 ,0.2 ,0.1 
AVV LN Equity,"5,116.1 ",662.2 ,7.7 ,45.6% ,70%,154.3 ,0.2 ,169.8 ,0.3 ,0.2 ,0.1 
UBI FP Equity,"11,136.6 ","2,027.5 ",5.5 ,30.5% ,83%,808.5 ,0.4 ,397.2 ,0.2 ,0.5 ,0.1 
TRHC US Equity,"1,498.6 ",169.7 ,8.8 ,28.4% ,31%,5.6 ,0.0 ,5.5 ,0.0 ,0.1 ,0.1 
GLUU US Equity,751.9 ,333.0 ,2.3 ,17.8% ,54%,92.4 ,0.3 ,104.4 ,0.3 ,(0.1),(0.1)
CRW LN Equity,877.2 ,67.1 ,13.1 ,17.8% ,95%,13.2 ,0.2 ,8.3 ,0.1 ,0.3 ,0.2 
EA US Equity,"25,857.6 ","4,838.0 ",5.3 ,11.5% ,72%,"1,320.0 ",0.3 ,641.0 ,0.1 ,0.2 ,0.2 
ZNGA US Equity,"2,858.7 ",883.2 ,3.2 ,11.1% ,69%,256.0 ,0.3 ,212.0 ,0.2 ,0.1 ,0.1 
ATHN US Equity,"4,868.8 ","1,286.5 ",3.8 ,10.0% ,54%,173.6 ,0.1 ,252.2 ,0.2 ,0.3 ,0.1 
